UNODC,Unnamed: 1,Unnamed: 2,unodc-dass@un.org,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,117
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,47
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,23
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2014,Counts,10389
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,47
ATG,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,by citizenship,National citizens,Male,Total,2015,Counts,3
AUT,Europe,Western Europe,Austria,CTS,by citizenship,National citizens,Male,Total,2015,Counts,29
BEL,Europe,Western Europe,Belgium,CTS,by citizenship,National citizens,Male,Total,2015,Counts,81
BLZ,Americas,Latin America and the Caribbean,Belize,CTS/MoI,by citizenship,National citizens,Male,Total,2015,Counts,55
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),CTS,by citizenship,National citizens,Male,Total,2015,Counts,330
BTN,Asia,Southern Asia,Bhutan,CTS,by citizenship,National citizens,Male,Total,2015,Counts,21
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2015,Counts,28
COL,Americas,Latin America and the Caribbean,Colombia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,15819
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,66
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2015,Counts,445
DNK,Europe,Northern Europe,Denmark,CTS,by citizenship,National citizens,Male,Total,2015,Counts,45
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2015,Counts,65
FRA,Europe,Western Europe,France,CTS,by citizenship,National citizens,Male,Total,2015,Counts,549
GRC,Europe,Southern Europe,Greece,CTS,by citizenship,National citizens,Male,Total,2015,Counts,60
GTM,Americas,Latin America and the Caribbean,Guatemala,CTS,by citizenship,National citizens,Male,Total,2015,Counts,2415
HND,Americas,Latin America and the Caribbean,Honduras,CTS,by citizenship,National citizens,Male,Total,2015,Counts,1879
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2015,Counts,2
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2015,Counts,757
JPN,Asia,Eastern Asia,Japan,CTS,by citizenship,National citizens,Male,Total,2015,Counts,217
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2015,Counts,855
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2015,Counts,131
MAC,Asia,Eastern Asia,"China, Macao Special Administrative Region",CTS,by citizenship,National citizens,Male,Total,2015,Counts,1
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,208
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2015,Counts,21
RUS,Europe,Eastern Europe,Russian Federation,CTS,by citizenship,National citizens,Male,Total,2015,Counts,13528
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,93
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,41
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2015,Counts,12
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2015,Counts,4798
UZB,Asia,Central Asia,Uzbekistan,CTS,by citizenship,National citizens,Male,Total,2015,Counts,659
ALB,Europe,Southern Europe,Albania,CTS,by citizenship,National citizens,Male,Total,2016,Counts,78
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,58
ATG,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,by citizenship,National citizens,Male,Total,2016,Counts,8
AUT,Europe,Western Europe,Austria,CTS,by citizenship,National citizens,Male,Total,2016,Counts,28
AZE,Asia,Western Asia,Azerbaijan,CTS,by citizenship,National citizens,Male,Total,2016,Counts,228
BEL,Europe,Western Europe,Belgium,CTS,by citizenship,National citizens,Male,Total,2016,Counts,69
BLZ,Americas,Latin America and the Caribbean,Belize,CTS/MoI,by citizenship,National citizens,Male,Total,2016,Counts,60
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),CTS,by citizenship,National citizens,Male,Total,2016,Counts,580
BRB,Americas,Latin America and the Caribbean,Barbados,CTS,by citizenship,National citizens,Male,Total,2016,Counts,26
BTN,Asia,Southern Asia,Bhutan,CTS,by citizenship,National citizens,Male,Total,2016,Counts,15
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2016,Counts,29
CHL,Americas,Latin America and the Caribbean,Chile,CTS,by citizenship,National citizens,Male,Total,2016,Counts,218
COL,Americas,Latin America and the Caribbean,Colombia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,12351
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,54
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2016,Counts,448
DNK,Europe,Northern Europe,Denmark,CTS,by citizenship,National citizens,Male,Total,2016,Counts,32
ESP,Europe,Southern Europe,Spain,CTS,by citizenship,National citizens,Male,Total,2016,Counts,224
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2016,Counts,51
FRA,Europe,Western Europe,France,CTS,by citizenship,National citizens,Male,Total,2016,Counts,604
GRC,Europe,Southern Europe,Greece,CTS,by citizenship,National citizens,Male,Total,2016,Counts,54
GRD,Americas,Latin America and the Caribbean,Grenada,CTS,by citizenship,National citizens,Male,Total,2016,Counts,8
GTM,Americas,Latin America and the Caribbean,Guatemala,CTS,by citizenship,National citizens,Male,Total,2016,Counts,2271
GUY,Americas,Latin America and the Caribbean,Guyana,CTS,by citizenship,National citizens,Male,Total,2016,Counts,78
HND,Americas,Latin America and the Caribbean,Honduras,CTS,by citizenship,National citizens,Male,Total,2016,Counts,1682
HRV,Europe,Southern Europe,Croatia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,44
HUN,Europe,Eastern Europe,Hungary,CTS,by citizenship,National citizens,Male,Total,2016,Counts,81
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2016,Counts,1
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2016,Counts,761
JPN,Asia,Eastern Asia,Japan,CTS,by citizenship,National citizens,Male,Total,2016,Counts,190
LIE,Europe,Western Europe,Liechtenstein,CTS,by citizenship,National citizens,Male,Total,2016,Counts,0
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2016,Counts,446
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2016,Counts,131
LVA,Europe,Northern Europe,Latvia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,124
MAC,Asia,Eastern Asia,"China, Macao Special Administrative Region",CTS,by citizenship,National citizens,Male,Total,2016,Counts,1
MNE,Europe,Southern Europe,Montenegro,CTS,by citizenship,National citizens,Male,Total,2016,Counts,21
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,178
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2016,Counts,21
PAN,Americas,Latin America and the Caribbean,Panama,CTS,by citizenship,National citizens,Male,Total,2016,Counts,288
RUS,Europe,Eastern Europe,Russian Federation,CTS,by citizenship,National citizens,Male,Total,2016,Counts,12604
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,110
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,46
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2016,Counts,10
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2016,Counts,5345
UZB,Asia,Central Asia,Uzbekistan,CTS,by citizenship,National citizens,Male,Total,2016,Counts,640
ALB,Europe,Southern Europe,Albania,CTS,by citizenship,National citizens,Male,Total,2017,Counts,47
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,59
ATG,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,by citizenship,National citizens,Male,Total,2017,Counts,16
AUT,Europe,Western Europe,Austria,CTS,by citizenship,National citizens,Male,Total,2017,Counts,71
AZE,Asia,Western Asia,Azerbaijan,CTS,by citizenship,National citizens,Male,Total,2017,Counts,219
BEL,Europe,Western Europe,Belgium,CTS,by citizenship,National citizens,Male,Total,2017,Counts,67
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),CTS,by citizenship,National citizens,Male,Total,2017,Counts,684
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2017,Counts,25
CHL,Americas,Latin America and the Caribbean,Chile,CTS,by citizenship,National citizens,Male,Total,2017,Counts,272
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,30
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2017,Counts,424
DMA,Americas,Latin America and the Caribbean,Dominica,CTS,by citizenship,National citizens,Male,Total,2017,Counts,15
DNK,Europe,Northern Europe,Denmark,CTS,by citizenship,National citizens,Male,Total,2017,Counts,48
ESP,Europe,Southern Europe,Spain,CTS,by citizenship,National citizens,Male,Total,2017,Counts,242
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2017,Counts,50
FRA,Europe,Western Europe,France,CTS,by citizenship,National citizens,Male,Total,2017,Counts,704
GRC,Europe,Southern Europe,Greece,CTS,by citizenship,National citizens,Male,Total,2017,Counts,41
HUN,Europe,Eastern Europe,Hungary,CTS,by citizenship,National citizens,Male,Total,2017,Counts,71
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2017,Counts,1
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2017,Counts,753
JOR,Asia,Western Asia,Jordan,MNS/CTS,by citizenship,National citizens,Male,Total,2017,Counts,244
KNA,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,CTS,by citizenship,National citizens,Male,Total,2017,Counts,35
LCA,Americas,Latin America and the Caribbean,Saint Lucia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,23
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2017,Counts,414
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2017,Counts,178
LVA,Europe,Northern Europe,Latvia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,152
MEX,Americas,Latin America and the Caribbean,Mexico,CTS,by citizenship,National citizens,Male,Total,2017,Counts,4428
MLT,Europe,Southern Europe,Malta,CTS,by citizenship,National citizens,Male,Total,2017,Counts,11
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,170
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2017,Counts,21
OMN,Asia,Western Asia,Oman,CTS,by citizenship,National citizens,Male,Total,2017,Counts,19
RUS,Europe,Eastern Europe,Russian Federation,CTS,by citizenship,National citizens,Male,Total,2017,Counts,10769
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,65
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,39
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2017,Counts,17
TTO,Americas,Latin America and the Caribbean,Trinidad and Tobago,NGO,by citizenship,National citizens,Male,Total,2017,Counts,117
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2017,Counts,5935
UZB,Asia,Central Asia,Uzbekistan,CTS,by citizenship,National citizens,Male,Total,2017,Counts,473
ALB,Europe,Southern Europe,Albania,CTS,by citizenship,National citizens,Male,Total,2018,Counts,57
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,40
ATG,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,by citizenship,National citizens,Male,Total,2018,Counts,7
AUT,Europe,Western Europe,Austria,CTS,by citizenship,National citizens,Male,Total,2018,Counts,44
AZE,Asia,Western Asia,Azerbaijan,CTS,by citizenship,National citizens,Male,Total,2018,Counts,189
BEL,Europe,Western Europe,Belgium,CTS,by citizenship,National citizens,Male,Total,2018,Counts,51
BGR,Europe,Eastern Europe,Bulgaria,CTS,by citizenship,National citizens,Male,Total,2018,Counts,108
BHS,Americas,Latin America and the Caribbean,Bahamas,CTS,by citizenship,National citizens,Male,Total,2018,Counts,99
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),CTS,by citizenship,National citizens,Male,Total,2018,Counts,501
BRB,Americas,Latin America and the Caribbean,Barbados,CTS,by citizenship,National citizens,Male,Total,2018,Counts,18
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2018,Counts,19
CHL,Americas,Latin America and the Caribbean,Chile,CTS,by citizenship,National citizens,Male,Total,2018,Counts,259
COL,Americas,Latin America and the Caribbean,Colombia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,6409
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,38
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2018,Counts,402
DMA,Americas,Latin America and the Caribbean,Dominica,CTS,by citizenship,National citizens,Male,Total,2018,Counts,12
DNK,Europe,Northern Europe,Denmark,CTS,by citizenship,National citizens,Male,Total,2018,Counts,56
ESP,Europe,Southern Europe,Spain,CTS,by citizenship,National citizens,Male,Total,2018,Counts,241
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2018,Counts,50
FRA,Europe,Western Europe,France,CTS,by citizenship,National citizens,Male,Total,2018,Counts,692
GRC,Europe,Southern Europe,Greece,CTS,by citizenship,National citizens,Male,Total,2018,Counts,50
GUY,Americas,Latin America and the Caribbean,Guyana,CTS,by citizenship,National citizens,Male,Total,2018,Counts,71
HRV,Europe,Southern Europe,Croatia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,16
HUN,Europe,Eastern Europe,Hungary,CTS,by citizenship,National citizens,Male,Total,2018,Counts,42
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2018,Counts,2
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2018,Counts,625
JOR,Asia,Western Asia,Jordan,MNS/CTS,by citizenship,National citizens,Male,Total,2018,Counts,224
KNA,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,CTS,by citizenship,National citizens,Male,Total,2018,Counts,17
LCA,Americas,Latin America and the Caribbean,Saint Lucia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,17
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2018,Counts,452
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2018,Counts,99
LVA,Europe,Northern Europe,Latvia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,131
MEX,Americas,Latin America and the Caribbean,Mexico,CTS,by citizenship,National citizens,Male,Total,2018,Counts,5219
MLT,Europe,Southern Europe,Malta,CTS,by citizenship,National citizens,Male,Total,2018,Counts,1
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,178
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2018,Counts,21
OMN,Asia,Western Asia,Oman,CTS,by citizenship,National citizens,Male,Total,2018,Counts,3
RUS,Europe,Eastern Europe,Russian Federation,CTS,by citizenship,National citizens,Male,Total,2018,Counts,9748
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,96
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,40
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2018,Counts,8
TTO,Americas,Latin America and the Caribbean,Trinidad and Tobago,NGO,by citizenship,National citizens,Male,Total,2018,Counts,114
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2018,Counts,4663
UZB,Asia,Central Asia,Uzbekistan,CTS,by citizenship,National citizens,Male,Total,2018,Counts,403
ALB,Europe,Southern Europe,Albania,CTS,by citizenship,National citizens,Male,Total,2019,Counts,78
