Iso3_code,Year,population
DEU,2008,82110097
DEU,2007,82266372
DEU,2006,82376451
DEU,2005,82469422
DEU,2004,82516260
DEU,2003,82534176
DEU,2002,82488495
DEU,2001,82349925
DEU,2000,82211508
DEU,1999,82100243
DEU,1998,82047195
DEU,1997,82034771
DEU,1996,81914831
DEU,1995,81678051
DEU,1994,81438348
DEU,1993,81156363
DEU,1992,80624598
DEU,1991,80013896
DEU,1990,79433029
FIN,2023,5583911
FIN,2022,5556106
FIN,2021,5541017
FIN,2020,5529543
FIN,2019,5521606
FIN,2018,5515525
FIN,2017,5508214
FIN,2016,5495303
FIN,2015,5479531
FIN,2014,5461512
FIN,2013,5438972
FIN,2012,5413971
FIN,2011,5388272
FIN,2010,5363352
FIN,2009,5338871
FIN,2008,5313399
FIN,2007,5288720
FIN,2006,5266268
FIN,2005,5246096
FIN,2004,5228172
FIN,2003,5213014
FIN,2002,5200598
FIN,2001,5188008
FIN,2000,5176209
FIN,1999,5165474
FIN,1998,5153498
FIN,1997,5139835
FIN,1996,5124573
FIN,1995,5107790
FIN,1994,5088333
FIN,1993,5066447
FIN,1992,5041992
FIN,1991,5013740
FIN,1990,4986431
GTM,2023,18124838
GTM,2022,17847877
GTM,2021,17598650
GTM,2020,17357325
GTM,2019,17103803
GTM,2018,16845685
GTM,2017,16567357
GTM,2016,16268760
GTM,2015,15971743
GTM,2014,15681725
GTM,2013,15387337
GTM,2012,15089647
GTM,2011,14792126
GTM,2010,14500112
GTM,2009,14215611
GTM,2008,13935174
GTM,2007,13652040
GTM,2006,13367459
GTM,2005,13087629
GTM,2004,12807402
GTM,2003,12525842
GTM,2002,12246915
GTM,2001,11969422
GTM,2000,11697592
GTM,1999,11422965
GTM,1998,11139145
GTM,1997,10857754
GTM,1996,10583526
GTM,1995,10312996
GTM,1994,10043718
GTM,1993,9779761
GTM,1992,9522266
GTM,1991,9272584
GTM,1990,9024773
HND,2023,10644851
HND,2022,10463872
HND,2021,10289877
HND,2020,10119640
HND,2019,9943633
HND,2018,9765210
HND,2017,9588137
HND,2016,9412380
HND,2015,9237305
HND,2014,9063122
HND,2013,8889278
HND,2012,8715076
HND,2011,8540583
HND,2010,8365878
HND,2009,8189899
HND,2008,8012587
HND,2007,7834798
HND,2006,7656832
HND,2005,7478355
HND,2004,7298994
HND,2003,7119213
HND,2002,6938859
HND,2001,6757993
HND,2000,6577773
HND,1999,6400463
HND,1998,6234431
HND,1997,6071454
HND,1996,5903954
HND,1995,5739637
HND,1994,5579242
HND,1993,5423249
HND,1992,5271431
HND,1991,5123792
HND,1990,4980488
HUN,2023,9592186
HUN,2022,9605074
HUN,2021,9630932
HUN,2020,9670419
HUN,2019,9694824
HUN,2018,9706964
HUN,2017,9726756
HUN,2016,9759755
HUN,2015,9797755
HUN,2014,9833038
HUN,2013,9872734
HUN,2012,9920362
HUN,2011,9971727
HUN,2010,10000023
HUN,2009,10022650
HUN,2008,10038188
HUN,2007,10055780
HUN,2006,10071370
HUN,2005,10087065
HUN,2004,10107146
HUN,2003,10129552
HUN,2002,10158608
HUN,2001,10187576
HUN,2000,10210971
HUN,1999,10237530
HUN,1998,10266570
HUN,1997,10290486
HUN,1996,10311238
HUN,1995,10328965
HUN,1994,10343355
HUN,1993,10357523
HUN,1992,10369341
HUN,1991,10373400
HUN,1990,10373988
ISL,2023,393349
ISL,2022,382003
ISL,2021,372520
ISL,2020,366463
ISL,2019,360563
ISL,2018,352721
ISL,2017,343400
ISL,2016,335439
ISL,2015,330815
ISL,2014,327386
ISL,2013,323764
ISL,2012,320716
ISL,2011,319014
ISL,2010,318041
ISL,2009,318499
ISL,2008,317414
ISL,2007,311566
ISL,2006,303782
ISL,2005,296734
ISL,2004,292074
ISL,2003,289521
ISL,2002,287523
ISL,2001,284968
ISL,2000,281205
ISL,1999,277381
ISL,1998,274047
ISL,1997,271128
ISL,1996,268916
ISL,1995,267468
ISL,1994,266021
ISL,1993,263725
ISL,1992,261057
ISL,1991,257797
ISL,1990,254826
ITA,2023,58993475
ITA,2022,59013667
ITA,2021,59133173
ITA,2020,59438851
ITA,2019,59729081
ITA,2018,60148658
ITA,2017,60002252
ITA,2016,60115223
ITA,2015,60229605
ITA,2014,60320707
ITA,2013,60311613
ITA,2012,60191247
ITA,2011,60026841
ITA,2010,59819407
ITA,2009,59555454
ITA,2008,59211181
ITA,2007,58756247
ITA,2006,58399861
ITA,2005,58166682
ITA,2004,57828179
ITA,2003,57399184
ITA,2002,57089824
ITA,2001,56976981
ITA,2000,56942108
ITA,1999,56916317
ITA,1998,56906744
ITA,1997,56890372
ITA,1996,56860281
ITA,1995,56844303
ITA,1994,56843400
ITA,1993,56831821
ITA,1992,56797087
ITA,1991,56758521
ITA,1990,56719240
JPN,2023,124516650
JPN,2022,125124989
JPN,2021,125681593
JPN,2020,126261000
JPN,2019,126633000
JPN,2018,126811000
JPN,2017,126972000
JPN,2016,127076000
JPN,2015,127141000
JPN,2014,127276000
JPN,2013,127445000
JPN,2012,127629000
JPN,2011,127833000
JPN,2010,128070000
JPN,2009,128047000
JPN,2008,128063000
JPN,2007,128001000
JPN,2006,127854000
JPN,2005,127773000
JPN,2004,127761000
JPN,2003,127718000
JPN,2002,127445000
JPN,2001,127149000
JPN,2000,126843000
JPN,1999,126631000
JPN,1998,126400000
JPN,1997,126057000
JPN,1996,125757000
JPN,1995,125472000
JPN,1994,125178000
JPN,1993,124829000
JPN,1992,124425000
JPN,1991,123964000
JPN,1990,123478000
LKA,2023,22037000
LKA,2022,22181000
LKA,2021,22156000
LKA,2020,21919000
LKA,2019,21803000
LKA,2018,21670000
LKA,2017,21453000
LKA,2016,21209000
LKA,2015,20970000
LKA,2014,20778000
LKA,2013,20585000
LKA,2012,21169458
LKA,2011,21009048
LKA,2010,20879089
LKA,2009,20756435
LKA,2008,20629378
LKA,2007,20492545
LKA,2006,20352411
LKA,2005,20216524
LKA,2004,20087605
LKA,2003,19951521
LKA,2002,19805752
LKA,2001,19600362
LKA,2000,19293054
LKA,1999,18944731
LKA,1998,18596003
LKA,1997,18248200
LKA,1996,17905018
LKA,1995,17564068
LKA,1994,17275773
LKA,1993,17025918
LKA,1992,16739284
LKA,1991,16475354
LKA,1990,16352458
LTU,2023,2871585
LTU,2022,2831639
LTU,2021,2808380
LTU,2020,2810369
LTU,2019,2811089
LTU,2018,2819200
LTU,2017,2842639
LTU,2016,2877325
LTU,2015,2911109
LTU,2014,2937253
LTU,2013,2961250
LTU,2012,2989139
LTU,2011,3028115
LTU,2010,3097282
LTU,2009,3162916
LTU,2008,3198231
LTU,2007,3231294
LTU,2006,3269909
LTU,2005,3322528
LTU,2004,3377075
LTU,2003,3415213
LTU,2002,3443067
LTU,2001,3470818
LTU,2000,3499536
LTU,1999,3524238
LTU,1998,3549331
LTU,1997,3575137
LTU,1996,3601613
LTU,1995,3629102
LTU,1994,3657144
LTU,1993,3682613
LTU,1992,3700114
LTU,1991,3704134
LTU,1990,3697838
MNG,2023,3481145
MNG,2022,3433748
MNG,2021,3383741
MNG,2020,3327204
MNG,2019,3267673
MNG,2018,3208189
MNG,2017,3148917
MNG,2016,3088856
MNG,2015,3026864
MNG,2014,2963113
MNG,2013,2899011
MNG,2012,2839705
MNG,2011,2786317
MNG,2010,2738622
MNG,2009,2691115
MNG,2008,2643201
MNG,2007,2601850
MNG,2006,2567168
MNG,2005,2536407
MNG,2004,2508412
MNG,2003,2480374
MNG,2002,2449027
MNG,2001,2417751
MNG,2000,2388299
MNG,1999,2356813
MNG,1998,2323809
MNG,1997,2291750
MNG,1996,2259507
MNG,1995,2224945
MNG,1994,2189395
MNG,1993,2165130
MNG,1992,2167790
MNG,1991,2165342
MNG,1990,2098710
NOR,2023,5519594
NOR,2022,5457127
NOR,2021,5408320
NOR,2020,5379475
NOR,2019,5347896
NOR,2018,5311916
NOR,2017,5276968
NOR,2016,5234519
NOR,2015,5188607
NOR,2014,5137232
NOR,2013,5079623
NOR,2012,5018573
NOR,2011,4953088
NOR,2010,4889252
NOR,2009,4828726
NOR,2008,4768212
NOR,2007,4709153
NOR,2006,4660677
NOR,2005,4623291
NOR,2004,4591910
NOR,2003,4564855
NOR,2002,4538159
NOR,2001,4513751
NOR,2000,4490967
NOR,1999,4461913
NOR,1998,4431464
NOR,1997,4405157
NOR,1996,4381336
NOR,1995,4359184
NOR,1994,4336613
NOR,1993,4311991
NOR,1992,4286401
NOR,1991,4261732
NOR,1990,4241473
SRB,2023,6623183
SRB,2022,6664449
SRB,2021,6834326
SRB,2020,6899126
SRB,2019,6945235
SRB,2018,6982604
SRB,2017,7020858
SRB,2016,7058322
SRB,2015,7095383
SRB,2014,7131787
SRB,2013,7166553
SRB,2012,7201497
SRB,2011,7236519
SRB,2010,7291436
SRB,2009,7320807
SRB,2008,7350222
SRB,2007,7381579
SRB,2006,7411569
SRB,2005,7440769
SRB,2004,7463157
SRB,2003,7480591
SRB,2002,7500031
SRB,2001,7503433
SRB,2000,7516346
SRB,1999,7540401
SRB,1998,7567745
SRB,1997,7598538
SRB,1996,7622185
SRB,1995,7628264
SRB,1994,7622711
SRB,1993,7614328
SRB,1992,7604063
SRB,1991,7595636
SRB,1990,7897937
SVK,2023,5426740
SVK,2022,5431752
SVK,2021,5447247
SVK,2020,5458827
SVK,2019,5454147
SVK,2018,5446771
SVK,2017,5439232
SVK,2016,5430798
SVK,2015,5423801
SVK,2014,5418649
SVK,2013,5413393
SVK,2012,5407579
SVK,2011,5398384
SVK,2010,5391428
SVK,2009,5386406
SVK,2008,5379233
SVK,2007,5374622
SVK,2006,5373054
SVK,2005,5372807
SVK,2004,5372280
SVK,2003,5373374
SVK,2002,5376912
SVK,2001,5378867
SVK,2000,5388720
SVK,1999,5396020
SVK,1998,5390516
SVK,1997,5383291
SVK,1996,5373361
SVK,1995,5361999
SVK,1994,5346331
SVK,1993,5325305
SVK,1992,5305016
SVK,1991,5303294
SVK,1990,5299187
SVN,2023,2120461
SVN,2022,2112076
SVN,2021,2108079
SVN,2020,2102419
SVN,2019,2088385
SVN,2018,2073894
SVN,2017,2066388
SVN,2016,2065042
SVN,2015,2063531
SVN,2014,2061980
SVN,2013,2059953
SVN,2012,2057159
SVN,2011,2052843
SVN,2010,2048583
SVN,2009,2039669
SVN,2008,2021316
SVN,2007,2018122
SVN,2006,2006868
SVN,2005,2000474
SVN,2004,1997012
SVN,2003,1995733
SVN,2002,1994530
SVN,2001,1992060
SVN,2000,1988925
SVN,1999,1983045
SVN,1998,1981629
SVN,1997,1985956
SVN,1996,1988628
SVN,1995,1989872
SVN,1994,1989443
SVN,1993,1991746
SVN,1992,1996498
SVN,1991,1999429
SVN,1990,1998161
TUR,2023,85325965
TUR,2022,84979913
TUR,2021,84147318
TUR,2020,83384680
TUR,2019,82579440
TUR,2018,81407204
TUR,2017,80312698
TUR,2016,79277962
TUR,2015,78218479
TUR,2014,77181884
TUR,2013,76147624
TUR,2012,75175827
TUR,2011,74223629
TUR,2010,73142150
TUR,2009,72039206
TUR,2008,71051678
TUR,2007,70158112
TUR,2006,70045349
TUR,2005,69329557
TUR,2004,68592617
TUR,2003,67831730
TUR,2002,67048795
TUR,2001,66245128
TUR,2000,65425961
TUR,1999,64591923
TUR,1998,63734383
TUR,1997,62852966
TUR,1996,61951134
TUR,1995,61024503
TUR,1994,60033836
TUR,1993,58999167
TUR,1992,57990118
TUR,1991,57009887
TUR,1990,56015628
ATG,2023,93316
ATG,2022,92840
ATG,2021,92349
ATG,2020,91846
ATG,2019,91364
ATG,2018,90926
ATG,2017,90468
ATG,2016,89969
ATG,2015,89409
ATG,2014,88765
ATG,2013,88064
ATG,2012,87260
ATG,2011,86332
ATG,2010,85320
ATG,2009,84173
ATG,2008,82912
ATG,2007,81704
ATG,2006,80604
ATG,2005,79611
ATG,2004,78719
ATG,2003,77884
ATG,2002,77032
ATG,2001,76069
ATG,2000,74912
ATG,1999,73666
ATG,1998,72412
ATG,1997,71053
ATG,1996,69612
ATG,1995,68189
ATG,1994,66843
ATG,1993,65587
ATG,1992,64404
ATG,1991,63387
ATG,1990,63066
AUT,2023,9131761
AUT,2022,9041851
AUT,2021,8955797
AUT,2020,8916864
AUT,2019,8879920
AUT,2018,8840521
AUT,2017,8797566
AUT,2016,8736668
AUT,2015,8642699
AUT,2014,8546356
AUT,2013,8479823
AUT,2012,8429991
AUT,2011,8391643
AUT,2010,8363404
AUT,2009,8343323
AUT,2008,8321496
AUT,2007,8295487
AUT,2006,8268641
AUT,2005,8227829
AUT,2004,8171966
AUT,2003,8121423
AUT,2002,8081957
AUT,2001,8042293
AUT,2000,8011566
AUT,1999,7992324
AUT,1998,7976789
AUT,1997,7968041
AUT,1996,7959017
AUT,1995,7948278
AUT,1994,7936118
AUT,1993,7905633
AUT,1992,7840709
AUT,1991,7754891
AUT,1990,7677850
BEL,2023,11787423
BEL,2022,11680210
BEL,2021,11586195
BEL,2020,11538604
BEL,2019,11488980
BEL,2018,11427054
BEL,2017,11375158
BEL,2016,11331422
BEL,2015,11274196
BEL,2014,11209057
BEL,2013,11159407
BEL,2012,11106932
BEL,2011,11038264
BEL,2010,10895586
BEL,2009,10796493
BEL,2008,10709973
BEL,2007,10625700
BEL,2006,10547958
BEL,2005,10478617
BEL,2004,10421137
BEL,2003,10376133
BEL,2002,10332785
BEL,2001,10286570
BEL,2000,10251250
BEL,1999,10226419
BEL,1998,10203008
BEL,1997,10181245
BEL,1996,10156637
BEL,1995,10136811
BEL,1994,10115603
BEL,1993,10084475
BEL,1992,10045158
BEL,1991,10004486
BEL,1990,9967379
BLZ,2023,411106
BLZ,2022,402733
BLZ,2021,395346
BLZ,2020,390812
BLZ,2019,385829
BLZ,2018,380226
BLZ,2017,373202
BLZ,2016,364705
BLZ,2015,356333
BLZ,2014,348923
BLZ,2013,341627
BLZ,2012,334414
BLZ,2011,327298
BLZ,2010,320245
BLZ,2009,312614
BLZ,2008,304361
BLZ,2007,296100
BLZ,2006,287878
BLZ,2005,279731
BLZ,2004,271688
BLZ,2003,263780
BLZ,2002,256009
BLZ,2001,248379
BLZ,2000,240799
BLZ,1999,233059
BLZ,1998,225173
BLZ,1997,217446
BLZ,1996,210310
BLZ,1995,204146
BLZ,1994,199097
BLZ,1993,194902
BLZ,1992,190983
BLZ,1991,187040
BLZ,1990,183076
BOL,2023,12244159
BOL,2022,12077154
BOL,2021,11937360
BOL,2020,11816299
BOL,2019,11671386
BOL,2018,11508368
BOL,2017,11344587
BOL,2016,11180020
BOL,2015,11014705
BOL,2014,10848888
BOL,2013,10682608
BOL,2012,10515807
BOL,2011,10348929
BOL,2010,10182345
BOL,2009,10016275
BOL,2008,9850858
BOL,2007,9685960
BOL,2006,9521689
BOL,2005,9360754
BOL,2004,9204287
BOL,2003,9050700
BOL,2002,8900355
BOL,2001,8752736
BOL,2000,8606326
BOL,1999,8459806
BOL,1998,8313394
BOL,1997,8167900
BOL,1996,8021736
BOL,1995,7874676
BOL,1994,7727322
BOL,1993,7579195
BOL,1992,7430336
BOL,1991,7280289
BOL,1990,7130142
BTN,2023,786385
BTN,2022,780914
BTN,2021,775442
BTN,2020,770006
BTN,2019,764824
BTN,2018,759759
BTN,2017,754335
BTN,2016,747866
BTN,2015,740618
BTN,2014,733139
BTN,2013,725273
BTN,2012,717279
BTN,2011,709377
BTN,2010,701632
BTN,2009,693988
BTN,2008,686351
BTN,2007,678641
BTN,2006,670799
BTN,2005,661865
BTN,2004,650544
BTN,2003,637663
BTN,2002,624409
BTN,2001,610794
BTN,2000,596863
BTN,1999,582579
BTN,1998,569435
BTN,1997,558697
BTN,1996,548784
BTN,1995,547989
BTN,1994,554497
BTN,1993,554673
BTN,1992,577774
BTN,1991,599784
BTN,1990,589287
DNK,2023,5946952
DNK,2022,5903037
DNK,2021,5856733
DNK,2020,5831404
DNK,2019,5814422
DNK,2018,5793636
DNK,2017,5764980
DNK,2016,5728010
DNK,2015,5683483
DNK,2014,5643475
DNK,2013,5614932
DNK,2012,5591572
DNK,2011,5570572
DNK,2010,5547683
DNK,2009,5523095
DNK,2008,5493621
DNK,2007,5461438
DNK,2006,5437272
DNK,2005,5419432
DNK,2004,5404523
DNK,2003,5390574
DNK,2002,5375931
DNK,2001,5358783
DNK,2000,5339616
DNK,1999,5321799
DNK,1998,5304219
DNK,1997,5284991
DNK,1996,5263074
DNK,1995,5233373
DNK,1994,5206180
DNK,1993,5188628
DNK,1992,5171370
DNK,1991,5154298
DNK,1990,5140939
FRA,2023,68287487
FRA,2022,68065015
FRA,2021,67842811
FRA,2020,67601110
FRA,2019,67382061
FRA,2018,67158348
FRA,2017,66918020
FRA,2016,66724104
FRA,2015,66548272
FRA,2014,66312067
FRA,2013,65997932
FRA,2012,65657659
FRA,2011,65340830
FRA,2010,65026211
FRA,2009,64706436
FRA,2008,64375116
FRA,2007,64016890
FRA,2006,63622342
FRA,2005,63180854
FRA,2004,62707588
FRA,2003,62249855
FRA,2002,61812142
FRA,2001,61364377
FRA,2000,60918661
FRA,1999,60501986
FRA,1998,60190684
FRA,1997,59968066
FRA,1996,59754504
FRA,1995,59541294
FRA,1994,59324863
FRA,1993,59103094
FRA,1992,58846584
FRA,1991,58554242
FRA,1990,58261012
GRC,2023,10405588
GRC,2022,10436882
GRC,2021,10569207
GRC,2020,10698599
GRC,2019,10721582
GRC,2018,10732882
GRC,2017,10754679
GRC,2016,10775971
GRC,2015,10820883
GRC,2014,10892413
GRC,2013,10965211
GRC,2012,11045011
GRC,2011,11104899
GRC,2010,11121341
GRC,2009,11107017
GRC,2008,11077841
GRC,2007,11048473
GRC,2006,11020362
GRC,2005,10987314
GRC,2004,10955141
GRC,2003,10928070
GRC,2002,10902022
GRC,2001,10862132
GRC,2000,10805808
GRC,1999,10761698
GRC,1998,10720509
GRC,1997,10661259
GRC,1996,10608800
GRC,1995,10562153
GRC,1994,10512922
GRC,1993,10460415
GRC,1992,10399061
GRC,1991,10319927
GRC,1990,10196792
MAC,2023,678800
MAC,2022,677300
MAC,2021,682500
MAC,2020,685400
MAC,2019,672000
MAC,2018,658900
MAC,2017,648400
MAC,2016,652500
MAC,2015,642900
MAC,2014,621700
MAC,2013,591900
MAC,2012,567900
MAC,2011,549600
MAC,2010,537000
MAC,2009,535000
MAC,2008,540700
MAC,2007,520900
MAC,2006,498900
MAC,2005,473500
MAC,2004,454700
MAC,2003,443600
MAC,2002,438400
MAC,2001,433900
MAC,2000,430600
MAC,1999,427400
MAC,1998,422300
MAC,1997,417300
MAC,1996,415100
MAC,1995,409300
MAC,1994,396800
MAC,1993,384000
MAC,1992,370900
MAC,1991,351650
MAC,1990,334950
RUS,2023,143826130
RUS,2022,144236933
RUS,2021,144746762
RUS,2020,145245148
RUS,2019,145453291
RUS,2018,145398106
RUS,2017,145293260
RUS,2016,145015460
RUS,2015,144640716
RUS,2014,144237223
RUS,2013,143805638
RUS,2012,143378447
RUS,2011,143018195
RUS,2010,142849468
RUS,2009,142785348
RUS,2008,142742366
RUS,2007,142805114
RUS,2006,143049637
RUS,2005,143518814
RUS,2004,144067316
RUS,2003,144648618
RUS,2002,145306497
RUS,2001,145976482
RUS,2000,146596869
RUS,1999,147214776
RUS,1998,147670784
RUS,1997,147915361
RUS,1996,148160129
RUS,1995,148375787
RUS,1994,148407912
RUS,1993,148458777
RUS,1992,148538197
RUS,1991,148394216
RUS,1990,147969406
UZB,2023,35652307
UZB,2022,34938955
UZB,2021,34243696
UZB,2020,33586372
UZB,2019,32964701
UZB,2018,32373490
UZB,2017,31819178
UZB,2016,31284568
UZB,2015,30749346
UZB,2014,30222994
UZB,2013,29724065
UZB,2012,29261903
UZB,2011,28823196
UZB,2010,28385506
UZB,2009,27939328
UZB,2008,27494774
UZB,2007,27076008
UZB,2006,26699043
UZB,2005,26356975
UZB,2004,26029350
UZB,2003,25711259
UZB,2002,25399980
UZB,2001,25090283
UZB,2000,24787054
UZB,1999,24476008
UZB,1998,24134929
UZB,1997,23758960
UZB,1996,23351981
UZB,1995,22917589
UZB,1994,22463291
UZB,1993,21987955
UZB,1992,21485090
UZB,1991,20962910
UZB,1990,20464956
ALB,2023,2745972
ALB,2022,2777689
ALB,2021,2811666
ALB,2020,2837849
ALB,2019,2854191
ALB,2018,2866376
ALB,2017,2873457
ALB,2016,2876101
ALB,2015,2880703
ALB,2014,2889104
ALB,2013,2895092
ALB,2012,2900401
ALB,2011,2905195
ALB,2010,2913021
ALB,2009,2927519
ALB,2008,2947314
ALB,2007,2970017
ALB,2006,2992547
ALB,2005,3011487
ALB,2004,3026939
ALB,2003,3039616
ALB,2002,3051010
ALB,2001,3060173
ALB,2000,3089027
ALB,1999,3108778
ALB,1998,3128530
ALB,1997,3148281
ALB,1996,3168033
ALB,1995,3187784
ALB,1994,3207536
ALB,1993,3227287
ALB,1992,3247039
ALB,1991,3266790
ALB,1990,3286542
AZE,2023,10153958
AZE,2022,10141756
AZE,2021,10137750
AZE,2020,10093121
AZE,2019,10024283
AZE,2018,9939771
AZE,2017,9854033
AZE,2016,9757812
AZE,2015,9649341
AZE,2014,9535079
AZE,2013,9416801
AZE,2012,9295784
AZE,2011,9173082
AZE,2010,9054332
AZE,2009,8947243
AZE,2008,8763400
AZE,2007,8581300
AZE,2006,8484550
AZE,2005,8391850
AZE,2004,8306500
AZE,2003,8234100
AZE,2002,8171950
AZE,2001,8111200
AZE,2000,8048600
AZE,1999,7982750
AZE,1998,7913000
AZE,1997,7838250
AZE,1996,7763000
AZE,1995,7684850
AZE,1994,7596550
AZE,1993,7494800
AZE,1992,7382050
AZE,1991,7271300
AZE,1990,7175200
BRB,2023,282336
BRB,2022,282318
BRB,2021,282147
BRB,2020,281698
BRB,2019,281207
BRB,2018,280711
BRB,2017,280171
BRB,2016,279598
BRB,2015,278990
BRB,2014,278348
BRB,2013,277665
BRB,2012,276938
BRB,2011,276139
BRB,2010,275243
BRB,2009,274123
BRB,2008,272714
BRB,2007,271288
BRB,2006,270002
BRB,2005,268706
BRB,2004,267298
BRB,2003,265776
BRB,2002,264148
BRB,2001,262425
BRB,2000,262063
BRB,1999,262517
BRB,1998,262436
BRB,1997,262392
BRB,1996,262284
BRB,1995,262039
BRB,1994,261620
BRB,1993,261027
BRB,1992,260267
BRB,1991,259373
BRB,1990,258582
CHL,2023,19658835
CHL,2022,19553036
CHL,2021,19456334
CHL,2020,19370624
CHL,2019,19197744
CHL,2018,18893191
CHL,2017,18558868
CHL,2016,18267221
CHL,2015,18047625
CHL,2014,17864195
CHL,2013,17687006
CHL,2012,17519119
CHL,2011,17351816
CHL,2010,17181464
CHL,2009,17009731
CHL,2008,16838988
CHL,2007,16671581
CHL,2006,16509195
CHL,2005,16348778
CHL,2004,16187322
CHL,2003,16024752
CHL,2002,15857925
CHL,2001,15683849
CHL,2000,15503635
CHL,1999,15319313
CHL,1998,15127799
CHL,1997,14932434
CHL,1996,14734046
CHL,1995,14527381
CHL,1994,14316256
CHL,1993,14102276
CHL,1992,13884577
CHL,1991,13662491
CHL,1990,13437176
ESP,2023,48347910
ESP,2022,47786102
ESP,2021,47443821
ESP,2020,47359424
ESP,2019,47118501
ESP,2018,46782011
ESP,2017,46571232
ESP,2016,46458139
ESP,2015,46422303
ESP,2014,46460733
ESP,2013,46604197
ESP,2012,46773055
ESP,2011,46742697
ESP,2010,46576897
ESP,2009,46362946
ESP,2008,45954106
ESP,2007,45226803
ESP,2006,44397319
ESP,2005,43653155
ESP,2004,42921895
ESP,2003,42187645
ESP,2002,41431558
ESP,2001,40850412
ESP,2000,40567864
ESP,1999,40386875
ESP,1998,40223509
ESP,1997,40057389
ESP,1996,39889852
ESP,1995,39724050
ESP,1994,39549108
ESP,1993,39361262
ESP,1992,39157685
ESP,1991,38966376
ESP,1990,38867322
GRD,2023,117081
GRD,2022,116913
GRD,2021,116688
GRD,2020,116341
GRD,2019,115981
GRD,2018,115691
GRD,2017,115438
GRD,2016,115130
GRD,2015,114676
GRD,2014,114132
GRD,2013,113487
GRD,2012,112775
GRD,2011,112079
GRD,2010,111586
GRD,2009,111254
GRD,2008,110896
GRD,2007,110522
GRD,2006,110135
GRD,2005,109734
GRD,2004,109323
GRD,2003,108884
GRD,2002,108404
GRD,2001,107987
GRD,2000,107451
GRD,1999,106727
GRD,1998,106009
GRD,1997,105293
GRD,1996,104584
GRD,1995,103869
GRD,1994,103138
GRD,1993,102382
GRD,1992,101602
GRD,1991,100793
GRD,1990,99957
GUY,2023,826353
GUY,2022,821637
GUY,2021,815482
